z,ra,dec,bestObjID
0.005390226,184.69641,1.3817146,1237651752401764623
0.005404205,170.06125,2.5224876,1237651754005954642
0.005418549,191.38328,-0.53571473,1237648720698867721
0.005421002,226.1424,-2.5869951,1237655691405099265
0.005427481,191.42317,-2.0310142,1237671266032681238
0.005431462,220.24299,2.1865514,0
0.005435848,170.065,2.525278,1237651754005954689
0.005438403,226.02915,1.2199369,1237655468060967119
0.005439694,187.55628,2.6252181,1237651754013622376
0.005443561,186.74351,2.4898233,0
0.005479636,212.24212,-2.9737574,1237655493835948037
0.005489794,227.26786,0.8219738,1237648722325143976
0.005493083,187.56045,2.6215929,1237651754013622403
0.005494876,220.69273,-0.34881795,0
0.0054969,224.69203,2.9690333,1237655470207860804
0.005500982,219.9138,2.5818063,1237651754564649144
0.005510338,191.38288,-0.53311791,0
0.005515854,215.599,-0.38770336,1237648704054296626
0.005516197,227.75557,1.6805595,1237651736314708310
0.005520343,220.2393,2.1879734,1237651754027909361
0.005532828,226.51368,2.1850501,1237651736851054807
0.005535014,221.54637,-0.22296552,1237648704056918077
0.00554662,226.67071,0.076736997,1237648704596017571
0.005550537,221.31598,-0.1594907,1237648721248845970
0.005554996,227.28264,0.72492755,1237655467524686353
0.005556944,188.33652,1.5217053,1237651735223730286
0.005559985,191.44958,-0.43224442,1237648720698867902
0.005587289,190.82681,-1.4673576,1237671266569748578
0.005590936,172.99097,-2.9194019,0
0.005610828,228.10019,2.0800627,1237651736851775697
0.005644963,186.74348,2.4944032,1237651736296816650
0.005647156,190.29833,1.4103171,1237651752404189289
0.005654494,226.61737,1.6058515,0
0.005658905,226.62153,1.6058165,0
0.00566138,222.59524,2.9585371,1237654879129764079
0.005678081,226.10289,2.1145743,1237651736850858273
0.005678178,220.69137,-0.3510785,1237648704056524892
0.005696116,226.68061,1.6610448,1237651736314250203
0.005696644,190.03691,-0.35034536,0
0.005698411,223.78884,1.1007004,1237651735239262516
0.005712601,188.15995,2.6710091,1237651754013884481
0.005727053,177.21004,-2.032265,1237650762389323827
0.005732589,219.92758,0.056193634,1237648704593068568
0.005738425,226.46069,1.908549,1237655469134905727
0.005746124,220.98487,1.6041895,1237651735774888004
0.005751215,227.3123,1.9216166,1237655469135298635
0.005751381,225.26296,0.70762255,1237655467523768622
0.005755075,220.23482,-0.31817036,1237648704056328322
0.005775208,227.56892,1.934314,1237655469135429814
0.005791203,225.25357,1.0138352,1237648705669169530
0.005807774,227.09451,1.7985872,1237651736314446265
0.005819059,150.81437,2.0953093,1237651753997566368
0.00585956,132.07774,1.2643683,1237651753452503249
0.00586651,188.1506,2.6589139,1237651754013884452
0.005867064,146.51065,1.6721077,0
0.005868103,223.73262,1.5254634,1237651735776133483
0.005870979,188.59176,2.3253111,1237651736297603269
0.005873261,219.99286,2.7479437,1237651737385042094
0.005875824,148.4972,2.8692044,1237654599952105786
0.005882815,228.78933,2.7517968,1237655470209695902
0.005898746,219.95832,-0.71816513,1237648703519326351
0.005911012,188.21349,2.6282781,1237651754013884688
0.005914615,219.42114,2.2908187,1237651736847974418
0.005922012,146.72511,0.50828311,1237650796757123150
0.005923959,187.46072,2.031559,1237651735760208048
0.00593255,219.95704,-0.71846387,1237648703519326353
0.005939425,146.72333,0.50733857,1237650796757123132
0.005950505,225.93406,2.5523919,1237651737387663757
0.00595112,220.09704,-0.56232834,1237648720711385386
0.005957456,220.6987,-0.49837507,1237648720711712783
0.005982158,219.95846,-0.70636323,1237648703519326352
0.006001042,217.33159,2.7105568,1237651754563534962
0.006004397,218.72583,-0.3426522,1237648704055673107
0.0060173,216.76993,-1.7296847,1237655499207082210
0.006019499,224.70301,2.0235053,1237655469134119056
0.006033491,163.20268,0.034482196,1237674650458193981
0.006033819,226.54678,2.0957326,0
0.006036635,146.61904,-0.43432227,1237648720679272630
0.006041533,220.46193,-1.3924613,1237655499745525963
0.006050064,219.91945,-0.30254253,1237648704056197681
0.006051128,185.875,2.0080311,1237651735759552711
0.006051213,223.00812,2.9782878,1237654879129960838
0.006054874,226.5464,2.0950708,1237651736851054872
0.00606031,220.6956,0.66173094,1237648722322260138
0.006065526,225.06907,2.300715,1237651736850399485
0.006073953,226.12564,-0.85131793,1237655693552583037
0.006075168,178.5503,-0.48241349,0
0.006084908,226.54719,2.0962315,1237651736851054871
0.006105036,185.49085,2.3450778,1237651736296226914
0.006110244,227.02337,1.6515934,1237651736314380648
0.00611839,177.64181,-0.53772907,1237648720692838659
0.006120098,185.73596,2.7469424,1237651736833228836
0.006121848,147.46057,0.61188203,1237651801769836705
0.006126935,226.03519,1.524607,1237655468597838120
0.006149007,227.02439,1.6515313,0
0.006149685,145.51963,0.33642042,0
0.006149792,162.25636,-0.64041284,1237674649384058907
0.006153071,228.13224,0.81258204,1237648722325537083
0.006154884,188.64576,2.5688135,1237651754014081244
0.006157753,189.52154,1.477751,1237651735224254507
0.006186391,146.77295,0.96442822,1237650797293994155
0.00618707,223.92863,-1.0091077,1237655693551665313
0.006197183,227.39001,-1.0215274,1237648720177725578
0.006199922,185.48987,2.3456564,0
0.006215455,190.11287,1.1969253,1237648722845761621
0.006226315,150.02437,1.9110605,1237651736280695058
0.006228141,220.06366,0.20670606,1237648704593133726
0.00623285,224.58815,1.8454333,1237651736313331932
0.006237036,224.00658,-1.3881885,1237655693014794327
0.006237303,224.47133,0.93422315,1237648705668776286
0.006247486,228.17247,1.6232568,1237651736314904879
0.006251462,131.34374,2.1901066,1237653665787543920
0.006261031,229.80552,2.5449657,1237651737389367573
0.006263335,146.93893,2.6269563,1237653665794359439
0.006282841,147.17639,-0.35405684,1237650795683578031
0.006283171,146.47591,2.9785716,1237654604246024349
0.006284619,225.21914,1.4049178,1237651735776723314
0.00628506,220.45285,0.68698536,1237648722322194478
0.006288003,178.90387,1.2372037,1237648722840846413
0.006295419,185.84759,1.8151864,1237651752939159673
0.006297647,225.00545,-1.091117,1237648702984683605
0.006297967,224.08465,-2.7616259,1237655691404181935
0.006309783,175.81716,-1.3946988,1237671140943528049
0.006316895,147.47559,0.61629296,1237651801769836703
0.006317841,185.27933,0.4613369,1237648705114800193
0.006327039,147.63041,0.40751089,1237648721753407902
0.006355164,146.26584,1.2304246,1237651752921792827
0.006358,228.8942,2.2482843,1237655469672825019
0.006362626,220.62338,1.5004181,1237651735774757030
0.006363118,146.46988,2.9783721,0
0.006366497,147.46914,0.61810944,1237651801769836706
