z,ra,dec
  0.075319,202.05978,0.47303531
  0.075327,183.32907,8.0545686
  0.075331,201.02024,-0.47901098
  0.075332,159.70912,2.952635
  0.075337,232.52432,3.5569086
  0.075338,202.97725,-1.4466201
  0.075353,170.05985,6.487941
  0.075364,232.17973,2.5619974
  0.075379,358.66677,-9.4959908
  0.075385,165.28559,3.1514071
  0.075388,56.065226,-7.057917
  0.075392,140.02618,6.5621195
  0.075393,185.55532,5.4946635
  0.075402,178.13301,4.3779369
  0.075407,203.70194,6.464568
  0.075408,230.3328,6.7846408
  0.075414,219.03976,3.8969914
  0.075415,178.20496,6.4630229
  0.075415,230.22258,7.2894031
  0.075427,172.67541,2.1238582
  0.075428,144.53962,9.6733466
  0.075428,166.87371,2.9106694
  0.075439,204.94609,5.6018623
  0.075443,167.78571,7.2205308
  0.075444,182.21429,5.0896749
  0.075445,184.28732,0.05673776
  0.075447,159.64895,3.1766249
  0.075470,142.82403,5.3961445
  0.075472,185.60712,6.5024895
  0.075475,205.48242,2.4373966
  0.075478,129.58962,8.490132
  0.075479,183.03135,2.9239294
  0.075485,232.912,7.5413586
  0.075489,175.0703,1.8948524
  0.075496,172.69275,1.4463789
  0.075503,163.12828,-0.66678507
  0.075510,201.25935,-0.37843133
  0.075517,212.47552,3.969813
  0.075524,169.78668,8.2287751
  0.075530,172.91185,1.9183173
  0.075532,181.25911,7.6548616
  0.075533,166.18934,3.6818941
  0.075539,175.50824,9.9286915
  0.075540,200.91159,-3.433539
  0.075543,174.92191,1.3393694
  0.075543,169.79641,8.2610723
  0.075547,194.8063,8.9323404
  0.075557,212.52225,-2.9800009
  0.075561,40.449548,1.2020505
  0.075563,30.807506,1.0067824
  0.075565,169.78241,8.2857185
  0.075566,358.75721,-9.3991983
  0.075570,232.4767,6.7112294
  0.075572,227.3729,7.5098358
  0.075581,227.66043,5.2387704
  0.075585,190.017,6.0214182
  0.075587,165.31773,5.8637499
  0.075589,232.00225,7.8803342
  0.075591,192.95575,0.56148574
  0.075625,142.52182,5.5986104
  0.075626,165.32443,5.8684977
  0.075632,142.18251,6.3084559
  0.075636,232.90137,7.7889959
  0.075638,170.66059,1.059843
  0.075644,227.4521,5.3726354
